,Model,Embedding,Train F1 (Macro),Val F1 (Macro),Train Precision,Val Precision,Train Recall,Val Recall,Train Accuracy,Val Accuracy
0,KNN,BoW Unigrams,0.9987,0.6786,0.9987,0.7388,0.9988,0.6541,0.9991,0.7873
1,KNN,BoW Bigrams,0.9986,0.5358,0.9983,0.546,0.9989,0.6052,0.999,0.5783
2,KNN,TF-IDF Unigrams,0.9987,0.698,0.9983,0.7478,0.9992,0.6726,0.9991,0.7968
3,KNN ,TF-IDF Bigrams,0.9987,0.6864,0.9985,0.7389,0.999,0.6605,0.9991,0.7889
4,KNN,Word2Vec,0.9991,0.5272,0.9988,0.5824,0.9993,0.5121,0.9993,0.7087
5,KNN,Glove,0.9983,0.6187,0.9976,0.66,0.999,0.6041,0.9987,0.7606
6,KNN,Text Embedding 3 Small,1.0,0.7478,1.0,0.753,1.0,0.7435,1.0,0.8119
7,KNN,RoBERTa,1.0,0.6657,1.0,0.7013,1.0,0.6495,1.0,0.7842
8,Naive Bayes,BoW Unigrams,0.8663,0.6975,0.8853,0.7606,0.852,0.6655,0.8993,0.7957
9,Naive Bayes,BoW Bigrams,0.9782,0.7009,0.976,0.7919,0.9807,0.66,0.9827,0.803
10,Naive Bayes,TF-IDF Unigrams,0.5938,0.4843,0.8906,0.8237,0.5505,0.4669,0.7685,0.7203
11,Naive Bayes,TF-IDF Bigrams,0.641,0.4675,0.9106,0.8439,0.5876,0.4539,0.7891,0.714
12,Random Forest ,BoW Unigrams,0.7038,0.6834,0.7045,0.694,0.704,0.6753,0.7699,0.7643
13,Random Forest ,BoW Bigrams,0.7081,0.6928,0.717,0.7109,0.7009,0.6791,0.7796,0.7768
14,Random Forest ,TF-IDF Unigrams,0.7125,0.662,0.7087,0.6613,0.7166,0.6627,0.7756,0.7444
15,Random Forest ,TF-IDF Bigrams,0.7285,0.6803,0.7426,0.6857,0.7169,0.6755,0.7954,0.7611
16,Random Forest ,Word2Vec,0.9624,0.5177,0.95,0.5491,0.9764,0.5101,0.9675,0.6894
17,Random Forest ,Glove,0.9942,0.5548,0.9917,0.7006,0.9968,0.5277,0.995,0.7402
18,Random Forest ,Text Embedding 3 Small,1.0,0.6611,1.0,0.8641,1.0,0.6006,1.0,0.7852
19,Random Forest ,RoBERTa,0.9947,0.6559,0.9921,0.7589,0.9974,0.6206,0.9953,0.7873
20,Logistic Regression,BoW Unigrams,0.733,0.6953,0.7157,0.6851,0.7575,0.7094,0.7865,0.7643
21,Logistic Regression,BoW Bigrams,0.746,0.6994,0.731,0.6932,0.7663,0.7094,0.799,0.7695
22,Logistic Regression,TF-IDF Unigrams,0.7009,0.6637,0.6934,0.6572,0.7096,0.6716,0.7683,0.7386
23,Logistic Regression,TF-IDF Bigrams,0.6196,0.6049,0.6555,0.6164,0.5976,0.5963,0.732,0.7093
24,Logistic Regression,Word2Vec,0.4404,0.4257,0.437,0.4261,0.4532,0.4459,0.597,0.5616
25,Logistic Regression,Glove,0.6413,0.6238,0.6239,0.6079,0.685,0.6599,0.6993,0.6888
26,Logistic Regression,Text Embedding 3 Small,0.784,0.7677,0.7542,0.7396,0.8359,0.8162,0.8145,0.8004
27,Logistic Regression,RoBERTa,0.7327,0.7215,0.7114,0.7083,0.7696,0.7474,0.7837,0.7816
28,XGBoost,BoW Unigrams,0.918,0.7145,0.9423,0.747,0.8975,0.6914,0.9388,0.7988
29,XGBoost,BoW Bigrams,0.7368,0.6723,0.8747,0.8175,0.6778,0.6195,0.8256,0.7873
30,XGBoost,TF-IDF Unigrams,0.2619,0.262,0.2157,0.2158,0.3333,0.3333,0.6472,0.6475
31,XGBoost,TF-IDF Bigrams,0.0876,0.0874,0.0504,0.0503,0.3333,0.3333,0.1512,0.1509
32,XGBoost,Word2Vec,0.9682,0.5146,0.9851,0.6012,0.9529,0.5005,0.9748,0.7145
33,XGBoost,Glove,0.9978,0.6224,0.9982,0.7391,0.9974,0.5837,0.9983,0.7685
34,XGBoost,Text Embedding 3 Small,1.0,0.7747,1.0,0.8514,1.0,0.7293,1.0,0.8402
35,XGBoost,RoBERTa,1.0,0.6657,1.0,0.7013,1.0,0.6495,1.0,0.7842
36,LSTM,Word2Vec,0.4379,0.4393,0.7558,0.4242,0.4638,0.4653,0.7033,0.7035
37,LSTM,Glove,0.9336,0.7432,0.9349,0.7617,0.9325,0.7288,0.9506,0.8151
